                                    Sun                                   
     
                      Apparent Topocentric Positions                      
                        Local Zenith and True North                       
     
                                                                          
             Location:     0°00&#39;00.0&#34;,   0°00&#39;00.0&#34;,     0m             
                (Longitude referred to Greenwich meridian)                
     
   Date        Time          Zenith          Azimuth         Distance
        (UT1)               Distance        (E of N)        to Object
             h  m   s        °  &#39;   &#34;        °  &#39;   &#34;           AU
2020 Jun 10 12:00:00.0      23 03 55.4     359 44 17.9     1.015278962
2020 Jun 10 13:00:00.0      27 20 53.4     328 31 47.4     1.015285250
2020 Jun 10 14:00:00.0      37 15 38.9     310 20 03.2     1.015294111
2020 Jun 10 15:00:00.0      49 30 34.0     301 01 10.4     1.015305277
2020 Jun 10 16:00:00.0      62 42 28.8     296 10 17.0     1.015318323
2020 Jun 10 17:00:00.0      76 19 12.2     293 47 38.0     1.015332694
2020 Jun 10 18:00:00.0      90 05 36.3     293 04 54.8     1.015347745
2020 Jun 10 19:00:00.0     103 51 54.1     293 49 09.9     1.015362785
2020 Jun 10 20:00:00.0     117 28 16.5     296 13 45.7     1.015377122
2020 Jun 10 21:00:00.0     130 39 26.4     301 07 42.0     1.015390112
2020 Jun 10 22:00:00.0     142 52 46.8     310 32 06.3     1.015401204
2020 Jun 10 23:00:00.0     152 43 58.3     328 53 34.7     1.015409972
2020 Jun 11 00:00:00.0     156 54 06.4       0 12 09.1     1.015416152
2020 Jun 11 01:00:00.0     152 38 18.9      31 23 09.9     1.015419653
2020 Jun 11 02:00:00.0     142 44 30.9      49 35 50.0     1.015420568
2020 Jun 11 03:00:00.0     130 30 11.8      58 55 38.3     1.015419165
2020 Jun 11 04:00:00.0     117 18 41.0      63 47 07.3     1.015415868
2020 Jun 11 05:00:00.0     103 42 15.2      66 10 07.6     1.015411232
2020 Jun 11 06:00:00.0      89 56 05.0      66 53 03.3     1.015405901
2020 Jun 11 07:00:00.0      76 09 59.2      66 08 54.8     1.015400567
2020 Jun 11 08:00:00.0      62 33 48.0      63 44 22.4     1.015395921
2020 Jun 11 09:00:00.0      49 22 49.6      58 50 31.0     1.015392606
2020 Jun 11 10:00:00.0      37 09 41.3      49 26 28.5     1.015391175
2020 Jun 11 11:00:00.0      27 18 36.3      31 06 31.9     1.015392053
